disposition,file,line,context
QB_PASS_SYNTHESIS_V1,docs/handoffs/NFL_HANDOFF_2026-09-11_FULL_SLATE_LIVE_REPAIR_CURRENT.md,43,Production authorities remain:  - QB mean: M89/M90 / `QB_PASS_SYNTHESIS_V1` - QB distribution: `C2_QB_MEAN_NEUTRAL_DISTRIBUTION_V1` - WR: M38 WR1 hierarchy + `WR_R15_PRODUCTION_MODEL_V1`
QB_PASS_SYNTHESIS_V1,docs/handoffs/NFL_HANDOFF_2026-09-11_FULL_SLATE_LIVE_REPAIR_MERGED_CURRENT.md,35,Frozen production authorities remain:  - QB mean: M89/M90 / `QB_PASS_SYNTHESIS_V1` - QB distribution: `C2_QB_MEAN_NEUTRAL_DISTRIBUTION_V1` - WR: M38 WR1 hierarchy + `WR_R15_PRODUCTION_MODEL_V1`
QB_PASS_SYNTHESIS_V1,docs/handoffs/NFL_HANDOFF_2026-09-11_QB_WR_SHARED_OPPORTUNITY_CURRENT.md,34,No overnight/recent QB opportunity diagnostic changed production.  - QB mean: M89/M90 / `QB_PASS_SYNTHESIS_V1` - QB distribution: `C2_QB_MEAN_NEUTRAL_DISTRIBUTION_V1` - WR: M38 WR1 hierarchy + `WR_R15_PRODUCTION_MODEL_V1` WR2+
PASS_OPPORTUNITY_RATE,docs/handoffs/NFL_HANDOFF_2026-09-11_QB_WR_SHARED_OPPORTUNITY_CURRENT.md,59,- current M89 projected pass-opportunity rate is exactly `0.57` in all 884 historical rows; - pooled mean-abs Shapley contribution: - PASS_OPPORTUNITY_RATE `5.1714506751` - TOTAL_OFFENSIVE_PLAYS `4.3065421286` - perfect-rate oracle improved team-D MAE much more than perfect-play-count oracle;
WITHIN_ZONE_PASS_PROPENSITY,docs/handoffs/NFL_HANDOFF_2026-09-11_QB_WR_SHARED_OPPORTUNITY_CURRENT.md,139, Key metrics: - WITHIN_ZONE_PASS_PROPENSITY pooled mean abs `0.04474731937078716` - 2024 `0.04415409734554893` - 2025 `0.04534593432352756`
WITHIN_SCORE_STATE_PASS_PROPENSITY,docs/handoffs/NFL_HANDOFF_2026-09-11_QB_WR_SHARED_OPPORTUNITY_CURRENT.md,190, Key metrics: - WITHIN_SCORE_STATE_PASS_PROPENSITY pooled mean abs `0.03574055185869413` - 2024 `0.03555504299231492` - 2025 `0.03592774716931315`
QB_PASS_SYNTHESIS_V1,docs/handoffs/NFL_HANDOFF_2026-09-14_WR_RECEIVING_YARDS_CURRENT.md,13,## Current authority / repo state Preserve production science while researching: - QB mean: M89/M90 / `QB_PASS_SYNTHESIS_V1` - QB distribution: `C2_QB_MEAN_NEUTRAL_DISTRIBUTION_V1` - WR: M38 WR1 hierarchy + `WR_R15_PRODUCTION_MODEL_V1` for WR2+
INSUFFICIENT_DEVELOPMENT_HISTORY,docs/migrations/M81_QB_FTN_NOVEL_MECHANISM_DEVELOPMENT.md,148,"- development holdout: 2024 Weeks 10-18 canonical rows  If the early fit window does not contain sufficient rows for a family, the family returns `INSUFFICIENT_DEVELOPMENT_HISTORY`; M81 must not borrow 2025 outcomes to rescue it.  ## Independent family gates"
FULL_STACK_TESTED_CLOSED,docs/migrations/M82_FULL_STACK_CLEAN_RECONCILIATION.md,117, - `PROMOTED_FOUNDATION` - `FULL_STACK_TESTED_CLOSED` - `SIGNAL_SCREEN_FAILED` - `PARTIAL_SIGNAL_INTEGRATION_CANDIDATE`
SIGNAL_SCREEN_FAILED,docs/migrations/M82_FULL_STACK_CLEAN_RECONCILIATION.md,118,- `PROMOTED_FOUNDATION` - `FULL_STACK_TESTED_CLOSED` - `SIGNAL_SCREEN_FAILED` - `PARTIAL_SIGNAL_INTEGRATION_CANDIDATE` - `SOURCE_BLOCKED_NEW_INFORMATION_REQUIRED`
